Date,Team,Team_Key,Player,player_id,roster_slot,1B,1BA,2B,2BA,3B,3BA,A,AB,APP,AVG,BB,BB/9,BBA,BLK,BSV,CG,CI,CS,CYC,DPT,E,ER,ERA,FPCT,GIDP,GIDPA,GP,GP2,GS,H,H/9,HA,HBP,HBPA,HLD,HR,HRA,IBB,IBBA,IP,IRA,K,K/9,K/BB,L,LEAGUE,NH,NSB,NSV,NSVH,NW,OBP,OBPA,OFA,OPS,OUT,PA,PC,PG,PICK,PO,QS,R,RA,RAPP,RBI,RL,RW,SB,SB%,SBA,SF,SH,SHO,SLAM,SLG,SO,SV,SV%,SVH,SVOP,TB,TBA,TBF,TEAM,W,WHIP,WIN%,WP,XBH
2025-03-18,Afternoon Wood,458.l.9833.t.6,Adley Rutschman,11732,C,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,,,0.0,,0.0,,,,,,,,0.0,,0.0,,,,0.0,,0.0,0.0,,0.0,,,,0.0,,0.0,,,0.0,,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,,,,0.0,,,0.0,,,,,0.0
2025-03-18,Afternoon Wood,458.l.9833.t.6,Austin Riley,10420,3B,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,,,0.0,,0.0,,,,,,,,0.0,,0.0,,,,0.0,,0.0,0.0,,0.0,,,,0.0,,0.0,,,0.0,,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,,,,0.0,,,0.0,,,,,0.0
2025-03-18,Afternoon Wood,458.l.9833.t.6,Bailey Ober,12096,SP,,0.0,,0.0,,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,,,0.0,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,0.0,,,0.0,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2025-03-18,Afternoon Wood,458.l.9833.t.6,Bryce Harper,8875,1B,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,,,0.0,,0.0,,,,,,,,0.0,,0.0,,,,0.0,,0.0,0.0,,0.0,,,,0.0,,0.0,,,0.0,,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,,,,0.0,,,0.0,,,,,0.0
2025-03-18,Afternoon Wood,458.l.9833.t.6,Bryce Miller,12540,BN,,0.0,,0.0,,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,,,0.0,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,0.0,,,0.0,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2025-03-18,Afternoon Wood,458.l.9833.t.6,Bryson Stott,11817,2B,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,,,0.0,,0.0,,,,,,,,0.0,,0.0,,,,0.0,,0.0,0.0,,0.0,,,,0.0,,0.0,,,0.0,,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,,,,0.0,,,0.0,,,,,0.0
2025-03-18,Afternoon Wood,458.l.9833.t.6,CJ Abrams,11822,Util,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,,,0.0,,0.0,,,,,,,,0.0,,0.0,,,,0.0,,0.0,0.0,,0.0,,,,0.0,,0.0,,,0.0,,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,,,,0.0,,,0.0,,,,,0.0
2025-03-18,Afternoon Wood,458.l.9833.t.6,Chris Sale,8780,SP,,0.0,,0.0,,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,,,0.0,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,0.0,,,0.0,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2025-03-18,Afternoon Wood,458.l.9833.t.6,Christopher Morel,11743,BN,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,,,0.0,,0.0,,,,,,,,0.0,,0.0,,,,0.0,,0.0,0.0,,0.0,,,,0.0,,0.0,,,0.0,,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,,,,0.0,,,0.0,,,,,0.0
2025-03-18,Afternoon Wood,458.l.9833.t.6,Heston Kjerstad,12121,BN,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,,,0.0,,0.0,,,,,,,,0.0,,0.0,,,,0.0,,0.0,0.0,,0.0,,,,0.0,,0.0,,,0.0,,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,,,,0.0,,,0.0,,,,,0.0
